Facility_Name,facility_id,state,number_discharges,excess_readmission_ratio,predicted_readmission_rate,expected_readmission_rate,number_readmissions,start_date,end_date
southeast_health_medical_center,10001,AL,NA,1.03,4.58,4.45,NA,20180701,20210630
southeast_health_medical_center,10001,AL,202,0.99,19.19,19.38,38,20180701,20210630
southeast_health_medical_center,10001,AL,319,1,14.49,14.55,46,20180701,20210630
southeast_health_medical_center,10001,AL,437,0.96,17,17.77,71,20180701,20210630
southeast_health_medical_center,10001,AL,757,1.06,23.04,21.83,178,20180701,20210630
southeast_health_medical_center,10001,AL,165,0.98,11.13,11.32,18,20180701,20210630
marshall_medical_centers,10005,AL,NA,0.96,16.23,16.9,NA,20180701,20210630
marshall_medical_centers,10005,AL,NA,NA,NA,NA,NA,20180701,20210630
marshall_medical_centers,10005,AL,NA,0.98,4.11,4.19,NA,20180701,20210630
marshall_medical_centers,10005,AL,235,0.9,16.45,18.21,31,20180701,20210630
marshall_medical_centers,10005,AL,361,0.98,15.69,16.05,55,20180701,20210630
marshall_medical_centers,10005,AL,157,1.01,20.15,20.03,32,20180701,20210630
north_alabama_medical_center,10006,AL,538,1.15,19.02,16.5,113,20180701,20210630
north_alabama_medical_center,10006,AL,235,0.9,16.51,18.29,31,20180701,20210630
north_alabama_medical_center,10006,AL,550,0.94,19.59,20.75,104,20180701,20210630
north_alabama_medical_center,10006,AL,312,1.11,13.95,12.54,49,20180701,20210630
north_alabama_medical_center,10006,AL,246,1.19,4.89,4.12,15,20180701,20210630
north_alabama_medical_center,10006,AL,109,1.33,15.92,11.95,24,20180701,20210630
mizell_memorial_hospital,10007,AL,72,1,18.28,18.32,13,20180701,20210630
mizell_memorial_hospital,10007,AL,NA,0.96,12.78,13.27,NA,20180701,20210630
mizell_memorial_hospital,10007,AL,51,1.11,21.58,19.39,18,20180701,20210630
mizell_memorial_hospital,10007,AL,NA,NA,NA,NA,NA,20180701,20210630
mizell_memorial_hospital,10007,AL,NA,NA,NA,NA,NA,20180701,20210630
mizell_memorial_hospital,10007,AL,NA,NA,NA,NA,NA,20180701,20210630
crenshaw_community_hospital,10008,AL,NA,NA,NA,NA,NA,20180701,20210630
crenshaw_community_hospital,10008,AL,NA,NA,NA,NA,NA,20180701,20210630
crenshaw_community_hospital,10008,AL,NA,NA,NA,NA,NA,20180701,20210630
crenshaw_community_hospital,10008,AL,NA,NA,NA,NA,NA,20180701,20210630
crenshaw_community_hospital,10008,AL,NA,NA,NA,NA,NA,20180701,20210630
crenshaw_community_hospital,10008,AL,NA,NA,NA,NA,NA,20180701,20210630
st._vincent's_east,10011,AL,139,1.06,13.62,12.82,22,20180701,20210630
st._vincent's_east,10011,AL,101,1.04,19.94,19.23,23,20180701,20210630
st._vincent's_east,10011,AL,346,1.01,16.6,16.48,58,20180701,20210630
st._vincent's_east,10011,AL,61,1.17,13.97,11.99,12,20180701,20210630
st._vincent's_east,10011,AL,NA,1.02,4.46,4.36,NA,20180701,20210630
st._vincent's_east,10011,AL,299,0.91,19.33,21.13,52,20180701,20210630
dekalb_regiol_medical_center,10012,AL,NA,1.02,14.55,14.27,NA,20180701,20210630
dekalb_regional_medical_center,10012,AL,NA,NA,NA,NA,NA,20180701,20210630
dekalb_regiol_medical_center,10012,AL,NA,0.93,2.82,3.03,NA,20180701,20210630
dekalb_regional_medical_center,10012,AL,106,1.02,18.85,18.55,21,20180701,20210630
dekalb_regiol_medical_center,10012,AL,NA,1.04,12.22,11.79,NA,20180701,20210630
dekalb_regional_medical_center,10012,AL,214,0.98,14.39,14.76,29,20180701,20210630
shelby_baptist_medical_center,10016,AL,214,1.05,17.06,16.27,40,20180701,20210630
shelby_baptist_medical_center,10016,AL,NA,1.03,12.19,11.86,NA,20180701,20210630
shelby_baptist_medical_center,10016,AL,96,0.96,20.13,20.98,16,20180701,20210630
shelby_baptist_medical_center,10016,AL,228,0.98,21.79,22.35,48,20180701,20210630
shelby_baptist_medical_center,10016,AL,NA,0.97,4.16,4.28,NA,20180701,20210630
shelby_baptist_medical_center,10016,AL,100,0.94,14.03,14.87,11,20180701,20210630
callahan_eye_hospital,10018,AL,NA,NA,NA,NA,NA,20180701,20210630
callahan_eye_hospital,10018,AL,NA,NA,NA,NA,NA,20180701,20210630
callahan_eye_hospital,10018,AL,NA,NA,NA,NA,NA,20180701,20210630
callahan_eye_hospital,10018,AL,NA,NA,NA,NA,NA,20180701,20210630
callahan_eye_hospital,10018,AL,NA,NA,NA,NA,NA,20180701,20210630
callahan_eye_hospital,10018,AL,NA,NA,NA,NA,NA,20180701,20210630
helen_keller_hospital,10019,AL,220,1.17,4.25,3.64,12,20180701,20210630
helen_keller_hospital,10019,AL,261,0.96,18.59,19.34,46,20180701,20210630
helen_keller_hospital,10019,AL,NA,NA,NA,NA,NA,20180701,20210630
helen_keller_hospital,10019,AL,NA,NA,NA,NA,NA,20180701,20210630
helen_keller_hospital,10019,AL,220,0.99,17.29,17.53,37,20180701,20210630
helen_keller_hospital,10019,AL,274,1.05,16.46,15.61,49,20180701,20210630
dale_medical_center,10021,AL,NA,NA,NA,NA,NA,20180701,20210630
dale_medical_center,10021,AL,NA,0.97,19.15,19.8,NA,20180701,20210630
dale_medical_center,10021,AL,NA,NA,NA,NA,NA,20180701,20210630
dale_medical_center,10021,AL,NA,0.98,20.23,20.63,NA,20180701,20210630
dale_medical_center,10021,AL,NA,NA,NA,NA,NA,20180701,20210630
dale_medical_center,10021,AL,49,1.07,16.3,15.21,13,20180701,20210630
cherokee_medical_center,10022,AL,NA,NA,NA,NA,NA,20180701,20210630
cherokee_medical_center,10022,AL,NA,NA,NA,NA,NA,20180701,20210630
cherokee_medical_center,10022,AL,NA,1,12.64,12.6,NA,20180701,20210630
cherokee_medical_center,10022,AL,NA,NA,NA,NA,NA,20180701,20210630
cherokee_medical_center,10022,AL,NA,NA,NA,NA,NA,20180701,20210630
